image_name,human_annotation,Model X,Model Z,Transformer_NSC,Microsoft Caption Bot
132489044_3be606baf7.jpg,A man sleeping with a bag on his lap on public transportation,a man in a red shirt is sitting on a chair smoking a cigarette,asleep in pink and tie leans against white suit,a man sitting on a train next to a bag,I think it's a man sleeping on a train.
3490736665_38710f4b91.jpg,A big dog stands on his hand leg as tennis balls are thrown his direction .,a dog catches a tennis ball in his mouth,big and white dog standing to catch tennis ball,a dog jumping up into the air to hit a tennis ball,I think it's a dog jumping in the air.
2473791980_805c819bd4.jpg,a lone parasailer surfing in the ocean wearing a black swimsuit .,a man is riding a wave in the ocean,man parasailer surfing in the water,a man riding a wave on a surfboard',I think it's a man kite surfing on the sea.
3062173277_bfb5ef4c45.jpg,A group of people are rowing a boat in a contest .,a man is kayaking through rough waters,woman in gray sweater hugging woman in gray sweater,a group of people in a body of water,I think it's a group of people in a canoe.
416960865_048fd3f294.jpg,A hiker in a red jacket on a snowy peak ,a man in a red outfit is standing on a snowy mountain,hiker looks atop snowy peak near stone mountain stopped,a man in a red jacket riding a snowboard,I think it's a person wearing a helmet and goggles.
2698666984_13e17236ae.jpg,A loan runner participates in a race in the rain,a man in a wetsuit is standing in the middle of the middle of a large puddle,woman in red vest and black striped shirt,a man is running in a parking lot,I think it's a man running on a road.
1472882567_33dc14c8b6.jpg,A group of skiers going up a mountain,a man in a white suit and black pants is skiing down a mountain,skiers walking snow drapped mountain,a group of people riding skis on a snowy slope,I think it's a group of skiers trekking up a mountain.
2991575785_bd4868e215.jpg,A girl doing a kick near a woman,a young boy in a red shirt is standing in front of a large building,woman and blue jeans,a couple of people standing next to each other,I think it's a man and woman hugging.
3589895574_ee08207d26.jpg,A child plays on playground equipment,a little boy in a blue shirt is playing on a tire swing,toddler plays on playground equipment ,a young boy holding a frisbee in his hand,I think it's a child on a swing.
3017521547_f5ef8848e3.jpg,Two girls are fighting over a ball during a game,a young boy in a red and white sports uniform chasing the ball,two women with sticks,a woman hitting a ball with a tennis racquet,I think it's a couple of women playing hockey.
2623930900_b9df917b82.jpg,A man who has a gray beard and gray hair laughs while wearing a purple shirt .,a man wearing a black shirt and glasses is standing in front of a crowd,black with bushy beard who pink shirt is wearing in front,an older man with glasses and a beard,I think it's a man with a beard and glasses.
302983277_69a4e732e4.jpg,A man in a yellow jacket is riding a horse through the mountains,a group of people are riding horses in front of snowcapped mountains,man riding on the mountain,a man riding on the back of a brown horse,I think it's a person riding a horse on a rocky mountain.
000000001296.jpg,A woman holding a Hello Kitty phone on her hands.,a woman in a black tank top eats a hot,two girls are on the camera,a woman is holding a box and looking at her phone,I think it's a woman holding a cell phone.
000000036936.jpg,Two people play video games while sitting on a couch.,a group of children are sitting on a bed laughing,man in fake puppies,a man and a woman are sitting on a couch,I think it's a man and a woman playing video games.
000000057150.jpg,A girl in plain dress standing next to a white teddy bear.,a group of people are sitting on a bench in front of a white building,the baby rides to,a crowd of people standing around a white teddy bear',I think it's a girl holding a stuffed bear.
000000140987.jpg,The young girl smiles brightly with a plate of pizza.,a man in a white shirt is standing next to a man in a white shirt,woman for face,a girl sitting at a table with a plate of pizza',I think it's a girl smiling at a pizza.
000000153529.jpg,A woman stands next to her luggage on a platform.,a man and a woman sitting on a bus,two people,a woman standing next to a pile of luggage',I think it's a person with luggage.
000000227044.jpg,A black and white cat standing in a white bathroom sink.,a small white dog with a broken in its mouth is being held by a building,cat,a black and white cat sitting in a bathroom sink',I think it's a cat standing on a sink.
000000276055.jpg,A woman holds a carrot in her right hand with a beverage in the other.,a man in a white shirt and black cap is standing in front of a building,the in her window,a woman holding a glass of water and a plant',I think it's a person holding a drink.
000000400573.jpg,A man biting into a doughnut with a sly look.,a man in a red shirt is sitting on a bench next to a woman,blonde haired glasses is sharing close to camera,a man taking a bite of a doughnut',I think it's a man eating a donut.
000000475732.jpg,A yellow cat is wearing a blue plastic baseball hat.,a young boy is playing with a paper airplane,the horse,a close up of a cat on a bench',I think it's a cat lying on a blue surface.
000000499622.jpg,A policeman  on a police motorcycle in the street.,a man wearing a helmet is riding a bike in a race,person wearing bike,a police officer riding a motorcycle on the street',I think it's a cop riding a motorcycle.
000000513567.jpg,Two women preparing to eat a hot dog on a city side., a man and a woman sitting on a bench,woman in her hand of woman with black hand,two women are smiling and eating hot dogs,I think it's a couple of women eating hot dogs.
000000185250.jpg,a man watches as a dig looks at a toy in the air,a dog jumps up to catch a frisbee,the dog looking at ball,a man standing next to a dog with a frisbee in its mouth',I think it's a man playing with a dog.
