image_name,human_annotation,Model X,Model Z,Transformer_NSC,Microsoft Caption Bot
3385593926_d3e9c21170.png,The dogs are in the snow in front of a fence,two brown dogs are wrestling in the snow,two dogs on the snow,two brown and white horses running in the snow',I think it's two horses fighting in snow.
2677656448_6b7e7702af.png,The small brown and white dog is in the pool,a man in a white shirt is standing next to a jet of water,Small in the,a dog swimming in a pool with a person',I think it's a dog swimming in water.
311146855_0b65fdb169.png,A man and a woman in festive costumes dancing,a young boy in a blue shirt and gold shorts stands on a busy street,man in bright costume,a shirtless man is sitting on a chair',I think it's a person in a garment.
1258913059_07c613f7ff.png,Three people sit at a picnic table outside of a building painted like a union jack,a group of people sit on a bench under a tall tree,three people in baby of flower,a group of people sitting around a table',I think it's a group of people sitting at a table under an umbrella.
241347760_d44c8d3a01.png,A man is wearing a Sooners red football shirt and helmet,two football players preparing to catch the ball,sooners football,two baseball players standing next to each other',I think it's a football player in red uniform.
2654514044_a70a6e2c21.png,A brown dog running,a brown dog is running through the grass,dog to,a dog running in the grass near a potted plant',I think it's a dog running in the grass.
2339106348_2df90aa6a9.png,Two girls are looking past each other in different directions while standing in a crowd,a woman in a pink shirt is smiling at the camera,Girl asian girl past each other,a group of young women standing next to each other',I think it's a group of women.
256085101_2c2617c5d0.png,A dog with its mouth opened,a brown and white dog is licking its lips whilst standing in the snow,The dog is yawning,a dog laying on the ground with its mouth open',I think it's a dog with its mouth open.
280706862_14c30d734a.png,"A black dog emerges from the water onto the sand , holding a white object in its mouth",a black dog is running through the water,Black dog has ball on its water from the water,a dog running with a frisbee in its mouth',I think it's a dog with a ball in its mouth.
3072172967_630e9c69d0.png,A player from the white and green highschool team dribbles down court defended by a player from the other team,a man in a white uniform dribbles a basketball in a sports stadium,Group of team,a group of men playing a game with nintendo wii controllers',I think it's a group of basketball players playing.
3482062809_3b694322c4.png,A group of tourists stand around as a lady puts her hand near the mouth of a statue,a man in a red shirt is standing in front of a fountain,Woman stand high,a group of young men standing next to each other',I think it's a group of people playing a game.
1167669558_87a8a467d6.png,This man is smiling very big at the camera,a closeup of a man with a nose ring and sunglasses,This man is smiling,a man in a yellow shirt smiling',I think it's a man with a yellow shirt.
2847615962_c330bded6e.png,A dog lays on a mattress on the porch,a black and a white dog are playing in a field,Dog is laying on the placed on the and white dog is walking,a monkey is sitting on a blanket outside',I think it's a dog with a toy.
3344233740_c010378da7.png,A man is standing on a sidewalk in the background with a blurry image of another man in the foreground,a bearded man in a hat is standing in front of a shop,Man stands by,a couple of people that are standing in the street',I think it's a woman taking a selfie with a man on a street.
2435685480_a79d42e564.png,The lady is sitting on a rock,a man in a red shirt is standing on top of a mountain,Woman wearing coat is top of mountain,a man sitting on a bench wearing a hat',I think it's a man sitting on a rock.
3110649716_c17e14670e.png,A man helps another man tie a red ribbon onto his arm,a man in a red shirt is standing in front of a restaurant,man have has,a group of people standing next to each other',I think it's a man handing another man something.
2511019188_ca71775f2d.png,Two dogs are playing ; one is catching a Frisbee,a brown dog is chasing a red ball,Two dogs,two dogs are playing with a frisbee in the grass',I think it's a couple of dogs play with a frisbee.
2521770311_3086ca90de.png,A boy holds a picture over his head,a young boy in a life jacket is sitting on a bed,Young holds cardboard to drink,a little boy that is standing up with hands',A boy holding a box
2723477522_d89f5ac62b.png,A big dog chases a little dog on the grass,two brown dogs are playing tug of war with a red ball,Two brown dogs,two dogs running in a field with trees in the background',I think it's a couple of dogs running in a field.
2218609886_892dcd6915.png,The man in the black hat is sitting on the floor beside the green door,a man in a red shirt is asleep on a bench,Two man sits outside door,a man is sitting on the floor eating something',I think it's a person smoking a cigarette.
